userId,userName,debutYear,firstPostTime,firstTitle,firstContentId,latestPostTime,latestTitle,latestContentId,isActiveRecent1Year
65778032,照明,2017,2017-03-02 21:40:20,【CeVIO車載】 一度は行きたい！＠筑波山ソロツー　前編【Z250】,sm30744269,2025-10-31 18:00:00,【ボイロ車載】名古屋の濃い味めい所ぶらり旅,sm45568654,True
65835007,ミルトト,2023,2023-08-25 16:33:03,ショタケモのチャリで来た Part01 ～ ロードバイクはじめました！【VOICEROID車載】,sm42670107,2026-07-12 12:46:02,【シンプル車載動画投稿祭】ウナさんぽ。ちょっくらバーガー食べてくる！【音街ウナ】,sm46540078,True
65939898,soracio,2018,2018-07-09 23:46:07,【VOICEROID車載】あかりinsideなドライブ【お試し動画】,sm33500461,2021-12-17 19:40:02,【MS投稿祭】初サーキットは英国車だらけ！？【車載日記】,sm39766803,False
66028907,鏡崎 琴春夜（ぱるさん）,2023,2023-07-19 14:45:02,【有響シロ誕生祭2023】有響シロの八雲探訪記【八百万夜行祭文月】,sm42503463,2024-04-07 00:00:00,【城郭登城祭】シロの日-城の日-4月6日の次の日に上がる何気ない動画【月山富田城編】,sm43624110,False
66198473,白（黒色）無,2021,2021-10-05 20:03:02,愛媛gdgdツーリング　#0　※テスト動画,sm39436718,2021-12-31 23:30:00,愛媛gdgdツーリング#2　~出張編~,sm39836965,False
66262808,玖々,2019,2019-04-21 20:00:02,今日から私、ライダーになります！with 紲星あかり #1「納車と伏線とボクっ娘あかりちゃん」,sm35004933,2023-07-15 19:00:00,悠閑びより#2〈紲星あかり車載／シンプル車載動画投稿祭〉,sm42486627,False
66282216,ポルカドット2号,2017,2017-03-24 00:14:47,やらない夫とささらがバイクに乗るようです part.0,sm30882674,2017-08-18 00:53:32,やらない夫とささらがバイクに乗るようです part.2,sm31765737,False
66306183,ミィ,2020,2020-01-02 00:53:02,【アバルトは】ゆっくりサソリ車載Part3（初日の出&amp;車紹介編）【いいぞ】,sm36170955,2020-06-14 04:01:02,【ゆっくり車載】ZX-6Rで走る日光 戦場ヶ原～金精峠,sm37028441,False
66364556,タメナ,2023,2023-10-20 19:30:00,Chu！朝イチ山中湖サイクルしてごめん【ゆかりの夏休み】,sm42915010,2026-05-19 18:00:00,戻れなくてももういいの｜バイクと俳句旅。,sm46328073,True
66455683,ワキゲンガー,2024,2024-11-24 12:48:03,さわやかに行こう その①,sm44357075,2024-11-24 12:48:03,さわやかに行こう その①,sm44357075,False
66501766,ぐえすと,2024,2024-04-21 21:12:03,ビワイチ　海津大崎の桜を見に行こう,sm43689638,2025-04-18 18:38:04,鯖街道を通って海鮮丼を食べに行こう！,sm44889413,False
66545031,遠山裕一,2018,2018-02-16 12:44:10,ゆかりさんと北海道をドライブしてみた,sm32745804,2018-03-14 11:38:50,【北海道】ゆかりさんとホワイトアウトに巻き込まれてみた【自然の驚異】,sm32881755,False
66715845,椚平商店,2025,2025-06-02 06:37:03,くぬレコたーんと南紀ぐるりん旅　パート１　,sm45045604,2026-07-17 23:55:49,【シンプル車載動画投稿祭2026】レコのたーんと埼玉1位の巨木と沖縄のアイスを食べに行こう！の巻,sm46560241,True
66769822,192168,2026,2026-03-21 22:00:00,【ニコニコキャンプ祭】主催のリア友と行くカブキャンプ,sm46081163,2026-03-21 22:00:00,【ニコニコキャンプ祭】主催のリア友と行くカブキャンプ,sm46081163,True
66840659,MaghiFibel,2026,2026-05-23 22:18:06,【初投稿】初めての北海道ツーリング　part1【S1000RR】,sm46347243,2026-07-05 00:00:00,【VOICEPEAK車載】初めての北海道ツーリング part4 【S1000RR】,sm46513075,True
66976080,ロコロコン,2022,2022-12-12 21:00:00,ONEちゃんサイクリング　淡路島人間OFF編,sm41498186,2026-07-20 20:00:00,【シンプル車載動画投稿祭2026】フジヒルに初挑戦してみた話【Mt.富士ヒルクライム２０２６】,sm46571413,True
67012846,ひきがね,2017,2017-04-24 20:27:13,［日本一周］GSR250でNEW LIFE［出発直前］,sm31087283,2017-04-24 20:27:13,［日本一周］GSR250でNEW LIFE［出発直前］,sm31087283,False
67048851,多摩みそ八,2019,2019-02-08 06:23:01,ポケモンGO全市町村制覇の旅(日本一周) part01 出発編 【ゆっくり＆CeVIO】,sm34596017,2019-09-10 09:22:02,ポケモンGO全市町村制覇の旅(日本一周) part22 北関東編 【ゆっくり＆CeVIO】,sm35661898,False
67156415,匿名喜望峰,2023,2023-07-18 01:11:02,【シンプル車載動画投稿祭】阪奈道路を走っているだけのテスト動画【VOICERID車載】,sm42498459,2023-07-18 01:11:02,【シンプル車載動画投稿祭】阪奈道路を走っているだけのテスト動画【VOICERID車載】,sm42498459,False
67250276,なかとも,2020,2020-11-15 23:49:02,秋葉原車載,sm37825835,2020-11-16 01:04:02,【車載】アクアライン～湾岸線東京方面,sm37826101,False
67379054,さか,2020,2020-11-04 19:19:00,梅雨の北近畿小旅行記４「滝上山攻略（失敗）」_2019,sm37769819,2021-01-22 19:19:00,【氷瀑】六甲山七曲滝攻略RTA０１：２８：４４,sm38157450,False
67425113,y9,2024,2024-08-23 21:26:04,【シンプル車載動画祭】 すたんとすくーと！,sm44012201,2024-08-23 21:26:04,【シンプル車載動画祭】 すたんとすくーと！,sm44012201,False
67578466,だ院,2022,2022-03-02 18:55:00,バイクと行く！きりゆかXツーリングpart1~湖と滝と~【VOICEROID車載】,sm40115916,2024-02-13 00:00:00,バイクと行く！きりゆかXツーリングpart2~紅葉と油揚げ~【VOICEROID車載】,sm43374442,False
67637659,ケロステ,2017,2017-09-15 05:00:00,【ゆかり車載】神社参拝ソロツーリング  居多神社【越後国】,sm31921255,2023-07-16 18:00:00,メンヘラ花梨と行くしんみりバイク旅【シンプル車載動画投稿祭】,sm42491330,False
67999297,ムシケラトプス,2017,2017-06-12 08:37:29,【結月ゆかり車載】 ユヅキユカリノボウケンシン part.01,sm31382714,2017-06-25 07:35:33,【結月ゆかり車載】 ユヅキユカリノボウケンシン part.02,sm31455137,False
68003356,扇漓　Senri,2020,2020-12-05 21:56:02,CeVIO自転車旅＃チャリたび　初めての江ノ島散策　,sm37919511,2020-12-05 21:56:02,CeVIO自転車旅＃チャリたび　初めての江ノ島散策　,sm37919511,False
68007586,しゃくなげ,2017,2017-06-11 13:42:29,【結月ゆかり車載】風に吹かれて,sm31376995,2019-08-17 14:33:04,【ゆかり車載】ゆかりさんと学ぶ エストレヤのハンドル交換【あかり車載】,sm35551982,False
68038031,kylo,2017,2017-07-01 14:08:14,仕事辞めちゃったので沖縄に行こうvol.3,sm31491190,2022-12-11 20:45:02,NM4 Ledgends　沼津田子浦さわやか【NM4-02車載】,sm41494213,False
68044873,User 68044873,2018,2018-01-07 22:35:42,福岡国フード記現代版【京町セイカ車載】,sm32548188,2020-03-22 18:10:02,【一分弱車載祭】でいとーなー。【二輪車載】,sm36554016,False
68469609,たぴおか㌠,2019,2019-09-24 18:28:01,ひるぜんに美味しいパンケーキ屋さんがあるって本当ですか？【音街ウナ車載】,sm35726121,2024-11-07 19:30:00,ゆかりさんと行く琵琶湖一周旅,sm44284006,False
69030572,旅はんぺん,2024,2024-12-29 23:33:04,【原付車載】限界移動異常行動りっかちゃん #01,sm44479331,2026-07-26 15:00:00,【小春六花の行き当たりばっ旅】年越し宗谷ったツーリング【ソフトウェアトーク車載】,sm46590206,True
69084689,ペる坊,2024,2024-10-18 19:00:00,[日帰り旅行祭2024]ちょっくら登山旅行[原石祭],sm44212301,2024-10-18 19:00:00,[日帰り旅行祭2024]ちょっくら登山旅行[原石祭],sm44212301,False
69783895,なまら,2018,2018-08-21 01:35:02,【第四回ひじき祭】サタデーナイトジムカーナ走ってみた,sm33724415,2018-08-21 01:35:02,【第四回ひじき祭】サタデーナイトジムカーナ走ってみた,sm33724415,False
70011343,アリス少佐,2022,2022-03-28 00:47:03,【VOICEVOX車載】自転車で大阪から最寄りのホワイト餃子を食べに行く,sm40237466,2023-04-09 00:00:00,【VOICEVOX車載】自転車で瀬戸内海東側一周＃３「しまなみ・四国へ」,sm42046937,False
70090101,Priest,2017,2017-09-17 17:05:32,【初心者茜ちゃん】琴葉姉妹のサイクリング旅行記 #01【ロードバイク】,sm31942130,2017-10-09 02:29:13,【ポタリン茜ちゃん】琴葉姉妹のサイクリング旅行記 #02【ロードバイク】,sm32067705,False
